,Caption_Tokens,Label
97,grateful generous pour gorgeous today one taster previous wine might lean female maybe delicate said innocently find like concerning context industry disproportionate number male business subconscious bias big problem little matter fortunately tasted giant little later instructor u comment told class find feminine powerful bold got end,0
98,prosecutor probably run trial perfect complainant knew fifteen instead twelve would taken different approach would relief see jury immediately suspicious complainant testimony defence ask little girl contraception draw promiscuity also wearing actually test memory suggest shorter skirt selected indicate willingness could way whatsoever known getting made drunken mistake next morning eggshell skull lee,0
99,tag friend seen play therapist perform emotional labor personal professional life,0
100,today depressing post men make per hour source panache gender pay gap still high earn le men report,0
101,living within collectivist personal family largely around group harmony together lot beauty people create harm need carefully might likely suppress maintain abuse due fear rocking boat allow escalate coping post part way feeling safe safety crucial helping result often sacrifice need build anger resentment relate,0
102,text roughly neither hungry really already eaten husband spare either yes please festival married fast without water entire day night long healthy husband similar fast region married however fast blessed son,0
103,good science young age subtly science due reputation year took science still many taking physic computer science research negligible difference mathematical aptitude performance directly awareness insidious ill belief somehow innately good undermining performance across many stereotyped good certain example white sprinter run fast race black impact stereotype threat need stem let break myth take away stereotype threat encourage thrive,0
104,small step right direction leave lasting impact create change everyday create change way speak around create change taking small right direction taking,0
106,enough seeing see female written male viewpoint two dimensional want every girl know story identify inspired one day write ahead tell u change way screen first excellent everyday get involved link,0
107,thank running president seek high profile whether government private sector often balance work family reporter alison king put interview presidential candidate rep seth woman first question would going juggle infant home presidential campaign question idea child care responsibility something figure without men decided instead ask male democratic young home describe child care,0
108,angry today saw shirt little making happy special power oh bet shirt whatever want found boy shirt people say telling worth ability make people happy telling anyone way disgusting,0
109,issue gender equality one superior men rather desire equally men much ask,0
110,consent sexy consent consent agreement given sexual partner moment take part sexual consent must voluntary must given freely forced consent must also informed informed person consenting decision choice free informed person consent valid consent someone participate sexual activity forced anyway also consent must clear must given personally person taking part sexual activity consent based someone else valid consent must given law say exactly consent sexual must given enough someone way therefore consent verbal writing go enjoy hot consensual sex,0
111,client spotlight client attorney three wine lover around cool person percent adore keeping skin flawless sun never give bronzed skin become regular friend,0
112,whenever daughter talk marriage always make sure talk fact marry marry act bride walking aisle veil quote right seen achievement necessarily men something think make sure son bit older rather change talk daughter,0
113,today dissertation defense whose research formed important inspiration sexual healing project day symposium painful intercourse seen various still big influence work kind felt like meeting afternoon dissertation vaginal penetration pain pleasure role fear sexual arousal great job ceremony still one goal returned home one morning program amazing research female pleasure whose work admire lot want interrupt party almost gave perfect opening thought whatever great talk super excited p image holding whatever mirror,0
114,would lying say element wanting decision close deal without real fight want seem difficult spoiled time like fine idea saw payroll every man working definitely worry difficult spoiled trying find adorable way state opinion still likable f think ever worked man charge spent time angle use voice,0
115,connector people alchemy brilliant team recent born equal listen link sexual harassment removing people really connect come find hub check next event sept hub event feed,0
116,often talk work like use page agonize cry non existent academic carrier feel like hate love relation current job would much one feed interesting conversation today cannot really context daily job work membership organization platform young hip friendly informal bunch successful big huge obviously club specifically privileged white club individually pretty cool people organization really direction want group grow pointed le female let even talk ethnic diversity crowned fantastic responsibility woman definitely get board surprise surprise easy still struggling minor achievement alert actually acknowledge issue openly lot journey one always feeling management behind project right thing say diversity inclusion want jump feel everyday say need female say need include successful business good u value knowledge different actually mean need cannot picked upon need look diverse look non white female landing page f ing mad conversation consultant lady today completely different approach told straight let work want hip nothing grab opportunity make happen,0
117,horrific story truly disgusting toxic abusive behaviour man jail life yet think appropriate detail football career earth relevant writer casual domestic abuse often badly sick,0
118,week prompt made cry crap photo amazing book must read finished everyday day ago one knife never go male world everyone dearth noise pivotal story real life much subtle speaking another woman recently exasperated shake head said husband jokingly raging feminist funny acting like feminism joke form ingrained even well meaning men subscribe hit wall challenge unrepentant joke silenced implication turn raging joke worst form taking away victimhood men telling offended spurn told think publicly complain man might reflect guy get trouble notion bring upon like lightning calamity victim perpetrator shaped existence wear become quiet strange man uncomfortable sometimes hesitate challenge speaking ever gotten anything silence loud roar like sadness ever like want take press disappear forever nothing,0
119,fiery photo fiery topic patient booked today disappointed dear friend available see unfortunately busy living best life around world patient difficult wisdom tooth extracted knew could better presumably girl would anything better man tooth wrapped around important nerve male dentist change complex anatomy left happy referral male colleague,0
120,really men default medicine suffer also ridiculous male model angry face female open coy expression,0
121,federal election coming registered go vote check link illustration federal election handbook cover,0
122,design challenge help build plan convince share household male tag would amazing ever research already source send contact,0
123,nelson light recent documentary around story point suicide attempt thought appropriate highlight post get comment body link watching documentary feel angry like thought would felt sad disappointed beautiful young woman smile pure sunshine anyone felt need shame know fed seeing fat skinny slut become normal part everyday life start taking time social medium impacted mental health detrimental way unfortunately writing career rely social medium present anyone gain spreading hate bit hard better yet keep shut comment going spread love light today least try complete,0
124,repost via waiting new show know listen popular man pay date men hate got gripe woman sex gross show,0
125,beautiful little boat spotted running past towards spotted great run twice men unfortunately isolated experience first time wolf unpleasant made feel quite self conscious kept going second time slow direct eye contact right face past slowly stuck behind group time felt really slow felt quite sarcastic eye contact felt threatening rather took energy away complete whole distance easy say ignore hard think hey went run anyway kept going could probably run men sure one day really believe run world without fear got keep running,0
126,recently turned another year older another year wiser learned injure yawning also staring computer screen long however also learned latter preventable thanks super cute prescription computer glass computer glass covered vision insurance stylish picked doctor office offer intellectual sophisticated look protecting delicate girly little harmful blue light computer screen ignore body desperate warning take break even longer better fit commonly company toxic culture wearing glass also help men around believe intelligent take seriously smart female distinguished regular dumb,0
127,concerned body image done source bloom think straight talk stay smart world,0
128,draw inspiration one another hope power collective strength together unstoppable,0
129,else secretly abbey night catching abbey movie event galore everyman cinema even left wee seat many laugh loud thinking gleefully love abbey everything much patriarchy monarchy living life obligation crazy harmful aristocratic pointless etiquette pomp ceremony list go strong brave enough live truth speak backdrop love people finding happiness odds society time people break injustice smith quick wit gift giving,0
130,let talk objectification added set modeling portfolio got message random older man never met create portfolio tempting went say look awkward show figure went talk increasingly clear like style sexually appealing like suit accentuate asset sure seeing young looking feminine let clear product refuse person deserve respect almost daily receive explicit like want show body even f k woman field feel like take order get work know care woman creative field send love today see someone acting inappropriately call photo,0
131,guardian foreign secretary shadow foreign secretary lady married speaker house common guardian guardian march,0
132,married unmarried widowed men confront different adapt climate change woman position come access adaptive marital status man married man adaptation position typically worsen leaf marriage source gender marital status climate change adaptation evidence rural van,0
133,forget congratulate one small way build internal confidence turn accelerate career good idea make note reflect back upon need prove capability reassure worth image credit design,0
134,today episode want support work order commission check ko fi molly,0
136,systemic infrastructure law science list go latest piece u read invisible learn vital research link,0
137,apparently need explanation want ever want see penis throughout conversation,0
138,definitely day since told think like ever worked woman really feel angry happen something like something even need think work thanks support undercover recruiter,0
139,trained fear since childhood order sustain gender inequality source feminism gender story,0
140,recently got slut shamed generous intellectual man normal men stand shirtless front camera want wear time men joke body front easily woman hoti,0
141,drop ball one day late party love link purchase free shipping,0
143,best support respect honor guest magical invite check episode discus consent mean empowerment important educate youth abuse need know tune anchor anchor also go link,0
144,man made unsolicited body hair f u c k u bitch going listen co guess honey look going slice fragile ego two unless rubbing face shedding hairy bush body hair none concern intrigue going cut making comment uncomfortable maybe sit question concerned woman body hair man,0
145,strong female subtle gender research tell u appear female source university futurity movie gender bias,0
146,poem written based everyday made suffer personal account based read topic men writing poem conversation sparked dad step mum near hope conversation start,0
147,saying like talk politics privilege right oppressed group people existence political use voice stand right silence complicity,0
148,year old body found rubbish dump several day went missing one many innocent similar demise city someone need brought justice credit respective owner follow u feminist daily content,0
149,access woman ability continue hold plan future push reach undermine economic security need live happy healthy,0
151,men tell smile lighten look smile consider whether would say man regardless comment someone appearance tell think act,0
152,accused number time time set record straight hate men watch latest video find click link search miss red,0
153,define inappropriate sexually suggestive shadow ban content demote p bot might take please share far wide soon see research entry shadow ban,0
154,tag friend would like wear one click link lot funny follow u feminist,0
155,bloody time new book last discussion health thanks like emma recently felt comfortable show year old boy tampon sanitary towel depth used relaxed happy discus normal everyday habit hope future wife full commitment empathy period also school shown real life discussion sex education period since coil fitted june exhausted persevering eventually stop menopausal resulting continued heavy flowing hence coil fitted counting tho currently writing year menopause journey mean time copy emma book year old boy image,0
156,every single day walk work get every single day sometimes start following making sometimes invade space demanding talk sometimes group men car shouting following sometimes someone high risk trigger sensory overload near daily cannot breath move sometimes manage make home attack sometimes right street people pas staring girl throat gasping air stream face never help,0
157,usually ignore shake pretty easily today horrible experience port authority morning walk work immediately crossing street garbage truck next traffic three men could blow stick normally walk away felt upset moving stuck middle finger frustration immediately burst laughter horrible devious laughter street lot traffic kept speeding get next verbally turned onto nearest street first chance avoid men upset walk work without feeling dirty,0
158,repeat yes simultaneously latest drop politics yes love debrief heading important meeting tired stigma made feel embarrassed unintelligent sit around fashion celebrity gossip god forbid singing along swift song suppress avoid presence men order sound shallow two mutually exclusive next time man turn swift face co via,0
159,mother year old daughter much skin daughter wearing jean look expose skin mother school also pant baggy tight policed shamed clothing nearly point message yahoo want participate project,0
160,bed since lot time think say pretend fact large majority country still work someone else cute million lady control according statistic bitch bed nothing came holiday weekend flu reschedule real also little call worried think extending ya fact one best fired calling sick day holiday weekend know detrimental sick day every woman even work remember pushing k pickup time really killing productivity lucky enough set schedule work set impossible effect often forced stay home additional year causing setback return work often entry level salary otherwise u return work within giving birth afford unpaid leave time overhaul work culture country time start treating staff accept get sick must tend backbone country raise make tend contribute financially knew would play disgusted better,0
161,according research pay gap men still long way go reach working close gap source,0
162,statue sad beautiful story one going tell today another one one taking photo making best moment since tourist moment could take clean bunch slippery try angle nice one ready take shot stable slide fall river grab anything holding camera tour guide bridge saying group tourist yeah fish man statue blah blah blah yeah enjoy snapping crotch well well apparently falling get nice snap pic crotch statue probably funny comment evil even sure said something always probably big deal care,0
163,one development sexual healing collection long really want create product accessible product sometimes process convince possible investor give extra money offer product lower price past felt like giving many time making much progress feel free promote account really use input support,0
164,review everyday laura amazing piece feminist literature based project everyday even unfortunately wrote share sexual abuse physical abuse pure fear experienced simply due female included family home school work street book one stay forever think everyone read star sometimes found hard read think important feminism something many people strong urge anyone feminism pointless hate crime men read,0
165,sale tradition used justification property want hear tell u custom aware comment section source news real life news life inside traditional bridal market teen sold news story,0
167,sad point come first automatically thought usual black white racist card even saddening please keep sending also god heart causing violence thanks opinion illiteracy bitch stay school,0
169,friend like fully love lee something always talking shut amazing even understand casually spend day tearing business apart solid indestructible force match personality girl crush coach looking hit fast get search group life coaching dead,0
170,hormonal illogical perform well men first post series branded hormonal simply essential human evidence field male hormone testosterone detrimental effect cognitive ability ass risk essential aspect leadership plus show men equal ability logical decision making writing book understand psychology behind workplace psychology degree break outdated factual scientific evidence book psychology gender provide practical,0
171,year old intermediate school dress code designing said real men distracted policed shamed clothing nearly point message yahoo want participate project,0
172,swear dad baby toddler whisper wizard u ten day dream come true dream sleep selling clearly different caption papa discovered yet,0
173,masculinity pop culture need stop hegemonic masculinity special appearance special show help u identify hegemonic masculine comment,0
174,hey everyone please help speak equality call everyday workplace recent interview highly successful well known chef marco male faster better pressure female throw many describe obedient con formative turning wearing right uniform basically giving pat head article see marco white kitchen consistent men come cooking respect house job may fast may physically strong marco white real positive men men absorb pressure better main difference emotional take personally happen kitchen tend go larder tend go pastry main kitchen see lot female pastry got pressure faster better pressure good ground pay higher promote men faster like rhetoric discrimination wrong female minority industry someone position power influence sending message ever going change make comparison first place put pay le put place combination also love bit woman respect home marco article independent ie life celebrity chef marco white emotional kitchen,0
175,nonfiction taught something something way everyday headstrong science world hyperbole half come invisible data bias world designed men nonfiction hidden,0
176,august round read total month pictured one life story one kindle book little bookshop herring cove read deep end everyday nine perfect anything say u little bookshop herring cove life story many read month,0
178,searching tent oh gee look found thank tent even put skill strength throw air,0
179,anyone else watching watched deep water character guy epitome dangerous type person right white wealthy male staggering amount arrogance entitlement point abject narcissism know people like people like run government character like field study hate despise every say well written character skin crawl,0
180,people change behaviour based tell u socially tuned behaviour source gender fine ne,0
